LGA_NAME,SUBURB_NAME,,,,,,,,,,,,,,,,,,,,,,,,,
MID-WESTERN REGIONAL,AARONS PASS,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRFIELD,ABBOTSBURY,,,,,,,,,,,,,,,,,,,,,,,,,
CANADA BAY,ABBOTSFORD,,,,,,,,,,,,,,,,,,,,,,,,,
BATHURST REGIONAL,ABERCROMBIE,,,,,,,,,,,,,,,,,,,,,,,,,
BATHURST REGIONAL,ABERCROMBIE RIVER,,,,,,,,,,,,,,,,,,,,,,,,,
CESSNOCK,ABERDARE,,,,,,,,,,,,,,,,,,,,,,,,,
MUSWELLBROOK,ABERDEEN,,,,,,,,,,,,,,,,,,,,,,,,,
ARMIDALE REGIONAL,ABERFOYLE,,,,,,,,,,,,,,,,,,,,,,,,,
MAITLAND,ABERGLASSLYN,,,,,,,,,,,,,,,,,,,,,,,,,
CESSNOCK,ABERMAIN,,,,,,,,,,,,,,,,,,,,,,,,,
CESSNOCK,ABERNETHY,,,,,,,,,,,,,,,,,,,,,,,,,
URALLA,ABINGTON,,,,,,,,,,,,,,,,,,,,,,,,,
TENTERFIELD,ACACIA CREEK,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKTOWN,ACACIA GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY MONARO REGIONAL,ADAMINABY,,,,,,,,,,,,,,,,,,,,,,,,,
NEWCASTLE,ADAMSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,ADAMSTOWN HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY VALLEYS,ADELONG,,,,,,,,,,,,,,,,,,,,,,,,,
Gundagai,ADJUNGBILLY,,,,,,,,,,,,,,,,,,,,,,,,,
KYOGLE,AFTERLEE,,,,,,,,,,,,,,,,,,,,,,,,,
HAWKESBURY,AGNES BANKS,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELLTOWN,AIRDS,,,,,,,,,,,,,,,,,,,,,,,,,
EUROBODALLA,AKOLELE,,,,,,,,,,,,,,,,,,,,,,,,,
LACHLAN,ALBERT,,,,,,,,,,,,,,,,,,,,,,,,,
SHELLHARBOUR,ALBION PARK,,,,,,,,,,,,,,,,,,,,,,,,,
SHELLHARBOUR,ALBION PARK RAIL,,,,,,,,,,,,,,,,,,,,,,,,,
ALBURY,ALBURY,,,,,,,,,,,,,,,,,,,,,,,,,
KEMPSEY,ALDAVILLA,,,,,,,,,,,,,,,,,,,,,,,,,
PARKES,ALECTOWN,,,,,,,,,,,,,,,,,,,,,,,,,
SYDNEY,ALEXANDRIA,,,,,,,,,,,,,,,,,,,,,,,,,
SUTHERLAND SHIRE,ALFORDS POINT,,,,,,,,,,,,,,,,,,,,,,,,,
WAGGA WAGGA,ALFREDTOWN,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,ALICE,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL COAST,ALISON,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BEACHES,ALLAMBIE HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
CESSNOCK,ALLANDALE,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGES RIVER,ALLAWAH,,,,,,,,,,,,,,,,,,,,,,,,,
BLAND,ALLEENA,,,,,,,,,,,,,,,,,,,,,,,,,
NAMBUCCA,ALLGOMERA,,,,,,,,,,,,,,,,,,,,,,,,,
MID-COAST,ALLWORTH,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGOG,ALLYNBROOK,,,,,,,,,,,,,,,,,,,,,,,,,
GREATER HUME SHIRE,ALMA PARK,,,,,,,,,,,,,,,,,,,,,,,,,
WINGECARRIBEE,ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,
BALLINA,ALSTONVALE,,,,,,,,,,,,,,,,,,,,,,,,,
BALLINA,ALSTONVILLE,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,ALUMY CREEK,,,,,,,,,,,,,,,,,,,,,,,,,
CABONNE,AMAROO,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELLTOWN,AMBARVALE,,,,,,,,,,,,,,,,,,,,,,,,,
TENTERFIELD,AMOSFIELD,,,,,,,,,,,,,,,,,,,,,,,,,
WENTWORTH,ANABRANCH NORTH,,,,,,,,,,,,,,,,,,,,,,,,,
WENTWORTH,ANABRANCH SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,
MAITLAND,ANAMBAH,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY MONARO REGIONAL,ANDO,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY MONARO REGIONAL,ANEMBO,,,,,,,,,,,,,,,,,,,,,,,,,
BEGA VALLEY,ANGLEDALE,,,,,,,,,,,,,,,,,,,,,,,,,
BREWARRINA,ANGLEDOOL,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY MONARO REGIONAL,ANGLERS REACH,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,ANGOURIE,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKTOWN,ANGUS,,,,,,,,,,,,,,,,,,,,,,,,,
PORT STEPHENS,ANNA BAY,,,,,,,,,,,,,,,,,,,,,,,,,
INNER WEST,ANNANDALE,,,,,,,,,,,,,,,,,,,,,,,,,
THE HILLS SHIRE,ANNANGROVE,,,,,,,,,,,,,,,,,,,,,,,,,
WOLLONDILLY,APPIN,,,,,,,,,,,,,,,,,,,,,,,,,
MID-WESTERN REGIONAL,APPLE TREE FLAT,,,,,,,,,,,,,,,,,,,,,,,,,
TAMWORTH REGIONAL,APPLEBY,,,,,,,,,,,,,,,,,,,,,,,,,
SINGLETON,APPLETREE FLAT,,,,,,,,,,,,,,,,,,,,,,,,,
DUBBO REGIONAL,APSLEY,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY MONARO REGIONAL,ARABLE,,,,,,,,,,,,,,,,,,,,,,,,,
KEMPSEY,ARAKOON,,,,,,,,,,,,,,,,,,,,,,,,,
QUEANBEYAN-PALERANG REGIONAL,ARALUEN,,,,,,,,,,,,,,,,,,,,,,,,,
MURRAY RIVER,ARATULA,,,,,,,,,,,,,,,,,,,,,,,,,
HORNSBY,ARCADIA,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,ARCADIA VALE,,,,,,,,,,,,,,,,,,,,,,,,,
LIVERPOOL PLAINS,ARDGLEN,,,,,,,,,,,,,,,,,,,,,,,,,
URALLA,ARDING,,,,,,,,,,,,,,,,,,,,,,,,,
BLAND,ARDLETHAN,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY VALLEYS,ARGALONG,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,ARGENTON,,,,,,,,,,,,,,,,,,,,,,,,,
NAMBUCCA,ARGENTS HILL,,,,,,,,,,,,,,,,,,,,,,,,,
MURRUMBIDGEE,ARGOON,,,,,,,,,,,,,,,,,,,,,,,,,
BLAND,ARIAH PARK,,,,,,,,,,,,,,,,,,,,,,,,,
BATHURST REGIONAL,ARKELL,,,,,,,,,,,,,,,,,,,,,,,,,
OBERON,ARKSTONE,,,,,,,,,,,,,,,,,,,,,,,,,
COONAMBLE,ARMATREE,,,,,,,,,,,,,,,,,,,,,,,,,
ARMIDALE REGIONAL,ARMIDALE,,,,,,,,,,,,,,,,,,,,,,,,,
BAYSIDE,ARNCLIFFE,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKTOWN,ARNDELL PARK,,,,,,,,,,,,,,,,,,,,,,,,,
COFFS HARBOUR,ARRAWARRA,,,,,,,,,,,,,,,,,,,,,,,,,
COFFS HARBOUR,ARRAWARRA HEADLAND,,,,,,,,,,,,,,,,,,,,,,,,,
WILLOUGHBY,ARTARMON,,,,,,,,,,,,,,,,,,,,,,,,,
DUBBO REGIONAL,ARTHURVILLE,,,,,,,,,,,,,,,,,,,,,,,,,
BALRANALD,ARUMPO,,,,,,,,,,,,,,,,,,,,,,,,,
CANTERBURY-BANKSTOWN,ASHBURY,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,ASHBY,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,ASHBY HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,ASHBY ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,
LIVERPOOL,ASHCROFT,,,,,,,,,,,,,,,,,,,,,,,,,
INNER WEST,ASHFIELD,,,,,,,,,,,,,,,,,,,,,,,,,
INVERELL,ASHFORD,,,,,,,,,,,,,,,,,,,,,,,,,
MOREE PLAINS,ASHLEY,,,,,,,,,,,,,,,,,,,,,,,,,
WAGGA WAGGA,ASHMONT,,,,,,,,,,,,,,,,,,,,,,,,,
MAITLAND,ASHTONFIELD,,,,,,,,,,,,,,,,,,,,,,,,,
HORNSBY,ASQUITH,,,,,,,,,,,,,,,,,,,,,,,,,
INVERELL,ATHOLWOOD,,,,,,,,,,,,,,,,,,,,,,,,,
TAMWORTH REGIONAL,ATTUNGA,,,,,,,,,,,,,,,,,,,,,,,,,
PARRAMATTA,AUBURN,,,,,,,,,,,,,,,,,,,,,,,,,
INVERELL,AUBURN VALE,,,,,,,,,,,,,,,,,,,,,,,,,
WOLLONGONG,AUSTINMER,,,,,,,,,,,,,,,,,,,,,,,,,
LIVERPOOL,AUSTRAL,,,,,,,,,,,,,,,,,,,,,,,,,
KEMPSEY,AUSTRAL EDEN,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BEACHES,AVALON BEACH,,,,,,,,,,,,,,,,,,,,,,,,,
MID-WESTERN REGIONAL,AVISFORD,,,,,,,,,,,,,,,,,,,,,,,,,
WINGECARRIBEE,AVOCA,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL COAST,AVOCA BEACH,,,,,,,,,,,,,,,,,,,,,,,,,
WINGECARRIBEE,AVON,,,,,,,,,,,,,,,,,,,,,,,,,
WOLLONGONG,AVONDALE,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY MONARO REGIONAL,AVONSIDE,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,AWABA,,,,,,,,,,,,,,,,,,,,,,,,,
WINGECARRIBEE,AYLMERTON,,,,,,,,,,,,,,,,,,,,,,,,,
NARRABRI,BAAN BAA,,,,,,,,,,,,,,,,,,,,,,,,,
